Country name	Name	rank
SwitzerlandGerman	Noah	1
SwitzerlandGerman	Luca	2
SwitzerlandGerman	Liam	3
SwitzerlandGerman	Leon	4
SwitzerlandGerman	Elias	5
SwitzerlandGerman	Finn	6
SwitzerlandGerman	Mio	7
SwitzerlandGerman	Levin	8
SwitzerlandGerman	Theo	9
SwitzerlandGerman	Jan	10
SwitzerlandGerman	Daniel	11
SwitzerlandGerman	Thomas	12
SwitzerlandGerman	Michael	13
SwitzerlandGerman	Christian	14
SwitzerlandGerman	Martin	15
SwitzerlandGerman	Patrick	16
SwitzerlandGerman	Peter	17
SwitzerlandGerman	Andreas	18
SwitzerlandGerman	Stefan	19
SwitzerlandGerman	Nico	20
SwitzerlandGerman	Ben	21
SwitzerlandGerman	Milan	22
SwitzerlandGerman	Mika	23
SwitzerlandGerman	Julian	24
SwitzerlandGerman	Louis	25
SwitzerlandGerman	Jonas	26
SwitzerlandGerman	Leandro	27
SwitzerlandGerman	Samuel	28
SwitzerlandGerman	David	29
SwitzerlandGerman	Felix	30
SwitzerlandGerman	Lio	31
SwitzerlandGerman	Leano	32
SwitzerlandGerman	Matteo	33
SwitzerlandGerman	Nino	34
SwitzerlandGerman	Markus	35
SwitzerlandGerman	Marc	36
SwitzerlandGerman	Simon	37
SwitzerlandGerman	Pascal	38
SwitzerlandGerman	Nicolas	39
SwitzerlandGerman	Alex	40
SwitzerlandGerman	Roger	41
SwitzerlandGerman	Christoph	42
SwitzerlandGerman	Matthias	43
SwitzerlandGerman	Oliver	44
SwitzerlandGerman	Marcel	45
SwitzerlandGerman	Urs	46
SwitzerlandGerman	Olivier	47
SwitzerlandGerman	Adrian	48
SwitzerlandGerman	Philipp	49
SwitzerlandGerman	Chris	50
SwitzerlandGerman	Reto	51
SwitzerlandGerman	Lukas	52
SwitzerlandGerman	Florian	53
SwitzerlandGerman	Tobias	54
SwitzerlandGerman	Manuel	55
SwitzerlandGerman	Robert	56
SwitzerlandGerman	Roland	57
SwitzerlandGerman	Fabian	58
SwitzerlandGerman	Alexander	59
SwitzerlandGerman	Raphael	60
SwitzerlandGerman	Bruno	61
SwitzerlandGerman	Paul	62
SwitzerlandGerman	Stephan	63
SwitzerlandGerman	Dominik	64
SwitzerlandGerman	Beat	65
SwitzerlandGerman	Benjamin	66
SwitzerlandGerman	René	67
SwitzerlandGerman	Kevin	68
SwitzerlandGerman	Michel	69
SwitzerlandGerman	John	70
SwitzerlandGerman	Tom	71
SwitzerlandGerman	Mike	72
SwitzerlandGerman	Mark	73
SwitzerlandGerman	Vincent	74
SwitzerlandGerman	Roman	75
SwitzerlandGerman	Sébastien	76
SwitzerlandGerman	Richard	77
SwitzerlandGerman	Rolf	78
SwitzerlandGerman	Joel	79
SwitzerlandGerman	Sebastian	80
SwitzerlandGerman	Laurent	81
SwitzerlandGerman	Andy	82
SwitzerlandGerman	Alain	83
SwitzerlandGerman	Eric	84
SwitzerlandGerman	Yves	85
SwitzerlandGerman	Frank	86
SwitzerlandGerman	Jonathan	87
SwitzerlandGerman	Max	88
SwitzerlandGerman	Sven	89
SwitzerlandGerman	James	90
SwitzerlandGerman	Walter	91
